1666589100000,19331.44000000,19336.55000000,19330.00000000,19335.00000000,53.00639000,1666589159999,1024773.84499800,1026,23.47221000,453807.12278020,0
1666589160000,19335.51000000,19336.28000000,19331.15000000,19332.17000000,42.21683000,1666589219999,816203.76798250,898,17.12930000,331176.68078840,0
1666589220000,19332.97000000,19334.71000000,19327.62000000,19328.31000000,43.16275000,1666589279999,834381.37683880,945,14.58031000,281853.65017170,0
1666589280000,19329.30000000,19341.98000000,19328.19000000,19337.28000000,60.90781000,1666589339999,1177714.40384730,1294,38.60848000,746541.29581660,0
1666589340000,19336.62000000,19340.80000000,19334.75000000,19337.00000000,34.81231000,1666589399999,673198.98139560,854,13.96803000,270114.73409050,0
1666589400000,19336.06000000,19337.79000000,19329.78000000,19335.20000000,60.77671000,1666589459999,1175037.68924740,1319,30.40873000,587912.96856630,0
1666589460000,19335.40000000,19340.77000000,19334.16000000,19336.48000000,32.70282000,1666589519999,632417.07412090,791,15.64229000,302499.52597710,0
1666589520000,19336.46000000,19339.28000000,19330.62000000,19336.38000000,59.37238000,1666589579999,1147978.71161070,1280,28.74595000,555810.10218380,0
1666589580000,19336.41000000,19336.99000000,19329.01000000,19332.19000000,69.86549000,1666589639999,1350682.53483280,1578,32.05000000,619621.58795530,0
1666589640000,19332.96000000,19341.41000000,19331.27000000,19337.25000000,52.24695000,1666589699999,1010323.27519450,1261,29.37221000,567996.74899420,0
1666589700000,19337.28000000,19341.28000000,19330.00000000,19331.50000000,51.30999000,1666589759999,992158.40928960,1409,20.67395000,399784.30418840,0
1666589760000,19331.50000000,19335.36000000,19302.72000000,19305.13000000,154.44237000,1666589819999,2984090.75426450,2919,62.55676000,1208798.79668480,0
1666589820000,19305.38000000,19320.27000000,19295.00000000,19319.97000000,167.61516000,1666589879999,3236394.32579170,2972,89.00490000,1718577.44518440,0
1666589880000,19319.26000000,19323.74000000,19316.28000000,19321.53000000,67.45733000,1666589939999,1303295.58840930,1373,31.01195000,599170.00142680,0
1666589940000,19322.25000000,19331.41000000,19322.25000000,19330.26000000,68.05202000,1666589999999,1315262.31249950,1461,37.82078000,730978.77264210,0
1666590000000,19330.00000000,19334.61000000,19329.00000000,19333.91000000,33.55804000,1666590059999,648719.09221370,833,17.59933000,340221.92771500,0
1666590060000,19334.39000000,19334.39000000,19323.82000000,19328.25000000,53.57223000,1666590119999,1035467.43354140,1162,21.77126000,420806.15880840,0
1666590120000,19328.23000000,19333.51000000,19325.67000000,19329.30000000,41.09721000,1666590179999,794399.53811300,937,19.71630000,381120.77359350,0
1666590180000,19329.30000000,19331.26000000,19323.42000000,19327.92000000,33.50577000,1666590239999,647590.08196020,918,14.57357000,281680.90366710,0
1666590240000,19328.00000000,19330.73000000,19326.58000000,19329.08000000,25.10168000,1666590299999,485191.95213090,760,14.12182000,272965.89916620,0
1666590300000,19329.07000000,19329.07000000,19320.58000000,19322.40000000,37.55764000,1666590359999,725776.10892870,1084,13.50577000,261000.20875940,0
1666590360000,19322.71000000,19330.93000000,19321.88000000,19328.19000000,46.32741000,1666590419999,895350.79302260,1019,23.96544000,463168.97342510,0
1666590420000,19328.75000000,19333.82000000,19326.01000000,19333.06000000,34.87345000,1666590479999,674121.48654910,903,21.25305000,410837.66856450,0
1666590480000,19333.17000000,19341.16000000,19328.95000000,19338.34000000,57.60512000,1666590539999,1113829.05732080,1282,26.75317000,517287.38370290,0
1666590540000,19338.27000000,19347.23000000,19333.01000000,19344.13000000,86.48591000,1666590599999,1672718.16761350,1941,46.35193000,896499.22535670,0
1666590600000,19344.02000000,19348.29000000,19336.79000000,19347.67000000,70.01884000,1666590659999,1354358.25540090,1428,38.31655000,741153.94161040,0
1666590660000,19347.27000000,19357.87000000,19345.33000000,19356.16000000,76.31836000,1666590719999,1476741.73279330,1761,35.96714000,695976.03229720,0
1666590720000,19356.59000000,19356.60000000,19343.21000000,19348.13000000,57.58280000,1666590779999,1114132.68058970,1186,28.77090000,556667.72094940,0
1666590780000,19348.15000000,19351.00000000,19338.03000000,19341.66000000,60.62508000,1666590839999,1172719.93462960,1238,24.49787000,473870.35888870,0
1666590840000,19341.51000000,19347.30000000,19338.01000000,19340.54000000,35.65782000,1666590899999,689720.45051250,884,19.84987000,383962.74025420,0
1666590900000,19340.93000000,19340.93000000,19321.07000000,19323.22000000,130.42885000,1666590959999,2521428.17434110,2561,49.98528000,966310.31862380,0
1666590960000,19324.02000000,19325.18000000,19318.89000000,19323.07000000,53.39111000,1666591019999,1031640.02452810,1349,28.05176000,542036.60893100,0
1666591020000,19323.06000000,19329.96000000,19322.59000000,19324.21000000,55.84934000,1666591079999,1079386.07744130,1295,31.69837000,612625.31712220,0
1666591080000,19324.21000000,19331.17000000,19323.35000000,19329.45000000,57.42942000,1666591139999,1109967.31740430,1191,31.35726000,606073.42776980,0
1666591140000,19328.65000000,19341.84000000,19328.61000000,19339.23000000,81.89400000,1666591199999,1583431.56419470,1590,47.49976000,918433.43813870,0
1666591200000,19339.49000000,19340.30000000,19327.73000000,19334.79000000,120.38704000,1666591259999,2327363.23662110,2279,53.43133000,1032967.74306940,0
1666591260000,19334.70000000,19341.03000000,19332.00000000,19335.63000000,81.24000000,1666591319999,1570875.52216220,1441,36.94414000,714373.89605170,0
1666591320000,19334.82000000,19355.00000000,19332.76000000,19344.08000000,114.35019000,1666591379999,2212205.56274960,2002,57.47413000,1111897.77253600,0
1666591380000,19345.41000000,19353.19000000,19344.24000000,19351.25000000,49.03255000,1666591439999,948690.25407440,1241,28.45873000,550634.68685380,0
